"escolaridade";"count"
"ALFABETIZADO SEM CURSOS REGULARES";1
"DOUTORADO";7
"ENSINO FUNDAMENTAL";48
"ENSINO FUNDAMENTAL INCOMPLETO";23
"ENSINO MÉDIO";1018
"ENSINO SUPERIOR";1747
"MESTRADO";28
